id,nome,email,telefone,endereco,cidade,estado,data_nascimento,valor_compra,categoria_produto,forma_pagamento,status_pedido,data_pedido
13,Sophie Porto,joao-pedro81@example.org,+55 (081) 8968 4832,"Jardim de Brito, 2
Ipe
20641-977 Moura / RJ",Cavalcanti de Aragão,SC,1993-08-13,1673.26,Alimentos,Cartão de Crédito,Entregue,2024-09-23 04:08:27
14,Dr. Ian Cirino,albuquerquebruno@example.com,+55 51 2501 4086,"Parque Ana Sophia Ferreira
Pousada Santo Antonio
80278843 das Neves Grande / RR",Moraes do Oeste,ES,1975-06-19,464.06,Livros,PIX,Entregue,2025-02-23 04:33:37
15,Henry Gabriel da Cruz,camposenzo@example.com,+55 41 7768-3368,"Praia de Montenegro, 2
Nova America
38817-691 Dias Grande / SP",Gonçalves,ES,1957-08-24,404.56,Alimentos,Transferência,Cancelado,2025-05-23 08:22:50
16,Dr. Henry Aragão,alanaduarte@example.org,+55 81 9271-1343,"Loteamento de Duarte
Alta Tensão 1ª Seção
34118-143 Fogaça do Oeste / RJ",Macedo,MA,1957-06-11,407.64,Eletrônicos,PIX,Cancelado,2025-01-09 21:38:48
17,Gabriela da Costa,ialves@example.org,+55 (061) 6148 9193,"Condomínio de Carvalho, 8
Alípio De Melo
78909-488 Fogaça da Mata / BA",Guerra,CE,1974-01-09,643.27,Vestuário,Transferência,Concluído,2025-03-27 05:38:22
18,Levi Nunes,brendaaragao@example.com,+55 (051) 2270 6594,"Rua Levi Cardoso, 74
São Salvador
42080188 Martins do Galho / AM",Cassiano,AP,1996-04-19,1073.28,Vestuário,PIX,Cancelado,2025-03-05 09:43:31
19,Yasmin Sá,danilo92@example.net,+55 (051) 1311-0273,"Núcleo de Sousa, 825
Estrela Do Oriente
99852-818 Garcia de Siqueira / PA",Lopes,RO,1944-12-05,892.29,Eletrônicos,Boleto,Cancelado,2025-06-15 13:57:40
20,Sr. Raul Brito,alana37@example.org,11 9338-9550,"Pátio Albuquerque, 19
Flavio De Oliveira
98833290 Fernandes / MA",Sousa,SE,1968-11-07,617.9,Eletrônicos,Transferência,Em Processamento,2024-10-19 16:59:19
21,Luiz Miguel Moura,cecilia08@example.org,+55 81 8660 9387,"Quadra Yago Fernandes, 67
Marieta 2ª Seção
08275689 das Neves de Teixeira / PR",Costa Paulista,RO,1956-10-17,1243.11,Alimentos,Cartão de Crédito,Entregue,2025-03-25 10:38:56
22,Dra. Sara da Mota,ravi06@example.com,31 3673-5932,"Jardim de Pereira, 44
Ipe
59663-529 Lopes / BA",Monteiro do Campo,RO,1978-11-23,322.01,Eletrônicos,Cartão de Crédito,Entregue,2024-08-25 10:35:52
23,João Gabriel Ramos,bruna21@example.com,71 8115 8071,"Loteamento de Ferreira, 5
Minas Brasil
82945029 Guerra / AM",Pimenta,MA,2002-07-04,619.68,Alimentos,Boleto,Cancelado,2025-06-08 00:40:33
24,Alexia Martins,felipeporto@example.org,0300 283 2170,"Viaduto Rezende, 26
Olaria
54015700 Silva do Amparo / ES",Andrade,RN,1980-01-01,764.41,Livros,PIX,Cancelado,2024-10-15 18:48:33
25,Bento Vieira,lucas15@example.net,71 6785-8972,"Sítio Nascimento
Vila Petropolis
51937-272 Fonseca do Sul / DF",Castro das Pedras,BA,1967-03-19,939.34,Vestuário,Boleto,Cancelado,2024-10-03 15:17:43
26,Juliana Pinto,claracirino@example.net,21 8497 2989,"Rua Mirella Pastor, 36
Vila Nova Cachoeirinha 2ª Seção
99640433 Gomes / AL",Almeida da Prata,TO,1992-11-22,1581.09,Vestuário,Boleto,Concluído,2025-03-10 05:16:25
27,Sr. Léo Casa Grande,ycosta@example.org,41 0928 7611,"Alameda Mariana Casa Grande, 610
Santa Lúcia
93742-306 Duarte da Praia / SP",Sá da Serra,PB,1948-10-27,439.36,Vestuário,Cartão de Crédito,Concluído,2024-07-07 11:23:51
28,Pedro Miguel Porto,iansiqueira@example.org,84 9202-5639,"Vila Maria Flor Camargo, 675
Suzana
01608-417 Casa Grande / MT",Câmara de Porto,RJ,1963-11-18,1052.76,Livros,Cartão de Crédito,Em Processamento,2025-03-01 06:40:09
29,Maria Júlia Leão,gael-henrique30@example.org,51 5442 3805,"Rua Sampaio, 8
Conjunto Taquaril
07203-088 Azevedo / AC",das Neves do Norte,RN,1998-08-15,1205.21,Livros,Transferência,Concluído,2025-05-04 00:27:13
30,Agatha da Rocha,oalmeida@example.com,+55 (041) 5829-1103,"Jardim de Guerra, 5
Lagoa
46784485 Rios / RR",Camargo de Vasconcelos,DF,1961-01-28,140.58,Móveis,Transferência,Entregue,2024-09-30 01:33:38
31,Fernanda Aragão,kcorreia@example.com,51 0284 0311,"Via de Cassiano, 60
Itatiaia
53704473 Gomes / SP",Correia,CE,1964-12-09,1234.71,Alimentos,Transferência,Concluído,2024-06-26 12:15:12
32,Ana Julia Santos,cecilia16@example.com,+55 31 4502 1576,"Passarela de da Cruz, 33
Vila Novo São Lucas
35090-554 Pires / PI",Cassiano,PB,1998-12-29,382.52,Alimentos,Boleto,Entregue,2025-02-15 21:16:29
33,Luigi Costela,vitor-gabriel87@example.com,84 5415-2906,"Ladeira da Luz, 476
Morro Dos Macacos
67233258 Araújo da Prata / PB",da Paz do Sul,TO,1967-05-20,176.85,Móveis,Boleto,Concluído,2024-09-17 18:09:34
34,Isis Machado,novaisisabella@example.org,+55 71 6879 4631,"Estação Maria Clara Peixoto, 104
Ademar Maldonado
87684-904 Moreira de Jesus / MG",Cavalcante,AM,1944-06-22,1900.33,Vestuário,Transferência,Concluído,2025-01-19 00:26:55
35,Anna Liz Porto,lorenzo13@example.com,(061) 6578 3080,"Distrito Cardoso, 85
Vila Califórnia
39004840 Moura / CE",Castro da Praia,RO,1972-06-20,1932.98,Alimentos,Cartão de Crédito,Em Processamento,2025-01-13 08:21:21
36,Luiz Miguel da Paz,joao-felipeda-rosa@example.com,(021) 2093-8236,"Campo de Aparecida, 91
Vila Pinho
68735-971 Martins de Ribeiro / AC",Gonçalves do Amparo,AC,1985-07-18,1626.37,Alimentos,Cartão de Crédito,Cancelado,2024-12-19 00:58:11
37,Maria Laura Borges,maria-claracardoso@example.net,+55 (011) 5952-8864,"Condomínio Jesus, 195
Vila Ouro Minas
43169-295 Sousa Paulista / RS",Cavalcanti,DF,1958-10-02,644.0,Vestuário,PIX,Cancelado,2024-09-16 12:20:32
38,Lunna Moraes,cecilia60@example.net,(021) 0396 1739,"Feira de Sá, 89
Alto Vera Cruz
20499135 Rezende / AL",Gonçalves Grande,PA,1990-04-30,240.46,Eletrônicos,Transferência,Cancelado,2025-03-09 04:51:44
39,Dra. Laura Pacheco,nda-mata@example.org,81 0509-5173,"Conjunto de Moreira, 9
Cidade Jardim
66779-174 Alves / PI",Vasconcelos,AC,1963-09-29,1384.25,Eletrônicos,Boleto,Em Processamento,2025-01-07 12:02:01
40,Maria Júlia Ferreira,souzalavinia@example.org,+55 21 7573 3822,"Quadra Maria Júlia da Costa, 91
Vale Do Jatoba
10457-016 da Mota das Pedras / PB",Caldeira,MG,1994-03-24,908.3,Móveis,PIX,Entregue,2024-08-17 08:42:33
41,Ana Sophia Rezende,uaragao@example.org,+55 (011) 2915 5362,"Vila Brenda Oliveira, 28
Barão Homem De Melo 3ª Seção
13042660 da Conceição Alegre / RR",Pereira de Goiás,RJ,1985-06-19,287.97,Livros,PIX,Concluído,2025-03-24 23:35:14
42,Davi Almeida,bpimenta@example.com,(031) 9932-8584,"Lagoa Juan Rios, 73
Piraja
54312858 Porto Verde / MT",Melo,MT,1955-04-15,1015.59,Alimentos,PIX,Em Processamento,2025-04-08 13:02:55
43,Srta. Zoe Campos,lunapires@example.net,(084) 2255-6713,"Estação Fogaça, 432
Jardim Montanhês
06488-200 da Cruz do Amparo / AM",da Luz das Flores,GO,1953-02-27,117.06,Alimentos,Transferência,Entregue,2025-02-27 12:59:37
44,Isaac Dias,abreubruna@example.org,(084) 7614-0531,"Loteamento Aylla Sá, 754
Paulo Vi
42219183 Borges / PI",Silva Verde,MS,1997-03-08,1823.17,Móveis,Transferência,Em Processamento,2025-02-12 08:11:45
45,Thiago Mendonça,ian55@example.com,51 6318 6112,"Estação Ravi Freitas, 604
Santa Monica
94729049 Pinto do Campo / MG",Abreu,PB,1999-03-03,554.62,Móveis,Transferência,Em Processamento,2025-03-17 06:49:28
46,Sr. Mathias Garcia,qrezende@example.net,+55 (061) 5093 5223,"Alameda da Rocha, 39
Cardoso
09107225 Viana / SC",Abreu dos Dourados,RN,1991-03-23,1341.92,Alimentos,Cartão de Crédito,Entregue,2025-01-24 11:49:11
47,Maria Eduarda Martins,maria-julia21@example.org,81 0419-5431,"Setor Eduarda Rios
Pompéia
14039-678 Câmara / BA",Souza de Goiás,MT,1997-11-03,657.84,Vestuário,PIX,Cancelado,2024-07-09 07:46:24
48,Ravy Mendonça,cauapimenta@example.net,51 0250 1260,"Largo Calebe Sales, 21
Jardim Alvorada
01598-657 Pimenta da Praia / MS",Fernandes de Guerra,BA,1979-06-08,1064.13,Vestuário,Cartão de Crédito,Concluído,2025-03-16 22:21:28
49,Arthur Costela,maria-sophia03@example.net,+55 (071) 8021 1684,"Residencial de Cavalcanti, 38
Guaratã
32911-780 Martins / SC",Cavalcante,MS,1965-09-17,1116.09,Livros,Transferência,Cancelado,2024-07-28 15:10:33
50,Léo Borges,otavio24@example.net,84 9830-7568,"Distrito Ian Vargas, 6
Alpes
98439-296 Viana / RO",Borges,PA,1994-01-17,410.47,Alimentos,Cartão de Crédito,Em Processamento,2024-07-24 13:30:31
51,Dr. Guilherme da Rosa,mariahleao@example.org,+55 51 0155 9361,"Colônia Oliver Vieira, 9
São Pedro
90479775 Andrade de Cassiano / AM",Cavalcante da Serra,PA,1955-04-24,1940.69,Alimentos,Cartão de Crédito,Entregue,2024-11-19 14:12:48
52,Daniela Peixoto,imonteiro@example.org,41 9289-2337,"Condomínio Martins
Gameleira
11559-257 Campos Alegre / TO",Barbosa,AC,1954-08-17,1561.51,Alimentos,Boleto,Em Processamento,2024-11-10 07:05:36
53,Rafael Moreira,isaqueda-paz@example.net,(011) 5863 2142,"Loteamento Maya Borges, 63
Cdi Jatoba
35247096 Siqueira de Andrade / MS",Silveira de Novais,AP,1988-01-27,1882.02,Alimentos,Transferência,Cancelado,2025-01-16 07:09:43
54,Anna Liz Pacheco,iferreira@example.org,(041) 0429 8917,"Campo Ramos, 8
Oeste
34093544 da Conceição de Cavalcante / TO",Moraes do Campo,PR,1976-04-04,1794.91,Móveis,PIX,Cancelado,2025-01-17 16:43:40
55,Isabel Nunes,esterfonseca@example.org,(071) 3507-2621,"Residencial de Fonseca
Renascença
97808091 Monteiro da Serra / DF",Santos da Praia,ES,1973-04-09,1215.9,Eletrônicos,Transferência,Cancelado,2024-08-27 20:07:57
56,Ana Laura Machado,lucas24@example.org,(051) 0015-5488,"Praça Miguel da Cruz, 92
Canaa
24597-278 Farias / SP",Pacheco,CE,1990-11-07,1847.65,Alimentos,Cartão de Crédito,Concluído,2024-09-13 17:49:00
57,Hellena Farias,nicole13@example.net,+55 71 5436-1258,"Vereda Pastor, 53
Conjunto Jardim Filadélfia
17943-805 Guerra / SC",Jesus,MG,1965-02-25,222.56,Eletrônicos,Transferência,Cancelado,2024-08-16 19:01:28
58,Dr. Kaique Vieira,josepastor@example.org,+55 (051) 4732 2256,"Vereda Aparecida, 2
Vila Aeroporto Jaraguá
40087840 Gonçalves de Alves / TO",Borges de Leão,MG,1976-07-01,432.17,Vestuário,Transferência,Concluído,2025-04-05 20:25:47
59,Mateus Farias,yfernandes@example.org,+55 21 1602 2573,"Estação de Rodrigues, 85
Buritis
49379-660 Novais / PI",Ribeiro,PI,1970-03-23,138.19,Livros,Boleto,Concluído,2024-11-02 08:23:03
60,Pedro Miguel Cunha,gvieira@example.net,(071) 7811 1833,"Avenida das Neves
Vila São Gabriel
50396542 Lopes / RO",Peixoto,RO,1965-07-25,684.39,Vestuário,Boleto,Cancelado,2025-03-14 03:10:04
61,José Caldeira,catarinapeixoto@example.org,+55 (011) 7598-8562,"Recanto Almeida, 3
Jardim São José
69398123 Pereira / SP",Carvalho,SC,2005-12-06,807.92,Alimentos,Transferência,Entregue,2025-01-27 14:38:24
62,Raquel Brito,camila99@example.org,(021) 7676-6827,"Vale de Barros, 8
União
37940-271 da Conceição de Viana / DF",da Costa da Praia,RS,1996-01-03,579.13,Vestuário,Boleto,Em Processamento,2025-03-18 00:23:44
63,Augusto Novais,joao-miguelrezende@example.net,+55 71 8293-0610,"Fazenda de Carvalho, 685
Dom Cabral
17186278 Gonçalves / GO",Novais,AM,1989-11-12,1666.04,Móveis,Cartão de Crédito,Em Processamento,2025-05-12 00:31:25
64,Sra. Mariane Viana,ravycostela@example.com,(051) 4998 1995,"Setor Mendonça, 428
Lagoa
73216051 Cardoso / DF",Alves,PI,2005-10-07,745.67,Eletrônicos,Cartão de Crédito,Concluído,2025-04-04 15:56:32
65,Sr. Nicolas Costa,gabrielgomes@example.net,0300-648-2017,"Quadra de Nascimento, 75
Penha
00460941 Abreu / SP",da Cruz,TO,1993-03-26,597.82,Alimentos,Cartão de Crédito,Concluído,2024-07-15 02:35:47
66,Milena da Cruz,nnascimento@example.com,(021) 8706-1694,"Chácara Nascimento, 46
Prado
21618591 Alves do Amparo / SC",Nascimento do Galho,AM,1953-12-23,1108.26,Móveis,Boleto,Concluído,2024-08-05 16:57:29
67,Dante Ribeiro,kamillypereira@example.com,+55 (031) 0013 3539,"Trecho Jade Freitas, 6
Planalto
58713479 Novaes Paulista / MG",Cirino,GO,1985-08-28,324.8,Eletrônicos,Transferência,Em Processamento,2025-05-01 09:34:52
68,Bento Cardoso,eborges@example.net,(061) 7151 8683,"Lagoa da Mata, 95
Marmiteiros
60283-386 Sampaio de Viana / AL",Correia Alegre,RR,1984-06-07,1614.28,Móveis,Cartão de Crédito,Concluído,2024-07-31 19:02:41
69,Juan Oliveira,rezendebrayan@example.net,0300 379 7449,"Área de Porto, 38
Urca
73570694 Gonçalves / MS",Lima,PE,1969-06-15,195.37,Vestuário,PIX,Entregue,2025-02-21 20:27:31
70,Gabrielly Jesus,marcela49@example.org,+55 (031) 8439-6841,"Parque Farias, 933
Conjunto Jatoba
84084-168 Machado / ES",Machado,AM,1977-04-12,1974.43,Alimentos,Cartão de Crédito,Entregue,2025-01-18 03:06:41
71,Ana Laura Campos,antonella74@example.net,81 3419-3682,"Jardim de Rocha, 50
Santa Sofia
53950120 Macedo / AC",Leão,TO,1970-11-21,1555.88,Vestuário,Transferência,Concluído,2024-10-19 09:27:28
72,Vitória da Conceição,pedro-lucascosta@example.org,(051) 2889 6581,"Campo de Teixeira, 59
São João
80354641 Lima do Oeste / GO",Melo Grande,GO,1999-05-05,437.5,Livros,Cartão de Crédito,Em Processamento,2025-05-22 01:52:14
73,Rael Farias,sampaiosophie@example.com,(021) 8250-6879,"Recanto Campos, 75
Ambrosina
76604-359 Nascimento de Goiás / PE",Albuquerque Alegre,PR,1958-03-02,60.77,Alimentos,PIX,Cancelado,2024-06-26 05:55:53
74,Caio Vieira,vasconcelosisis@example.net,+55 (061) 2369-2295,"Lago Teixeira, 883
Vila São Gabriel Jacui
44741-897 Siqueira / MS",das Neves,PA,1958-05-04,1640.15,Vestuário,Cartão de Crédito,Em Processamento,2024-06-27 04:57:13
75,Marina Nogueira,jade34@example.net,0300 334 2634,"Núcleo Gael Barros, 68
Vila São Rafael
17938065 Cassiano / RO",Moreira,MT,1946-08-20,1428.37,Alimentos,Cartão de Crédito,Cancelado,2024-10-08 03:28:11
76,Heloísa Moura,almeidaleticia@example.org,(011) 4372-2029,"Avenida Laura Cardoso, 81
Cidade Jardim
69483060 Pereira / RJ",da Mota,PE,1948-05-28,1471.56,Eletrônicos,Transferência,Cancelado,2024-10-21 21:50:40
77,Ana Beatriz Montenegro,andrecamargo@example.net,21 2097 8003,"Colônia de da Luz, 71
Outro
49780793 Santos da Prata / AM",Aparecida,PI,1958-09-24,1553.98,Alimentos,Cartão de Crédito,Concluído,2024-12-17 21:25:19
78,Maya Novais,nathan33@example.net,0800-499-8079,"Campo de Porto, 63
Europa
28280117 Barros de Goiás / ES",Viana,AP,1955-06-06,194.39,Alimentos,Cartão de Crédito,Entregue,2025-03-21 12:03:30
79,Benicio Silveira,rodrigopinto@example.net,+55 (061) 5293 0696,"Loteamento de Marques, 44
Castelo
37063-679 Silva / PE",Pacheco,SE,2005-04-22,749.01,Eletrônicos,Boleto,Concluído,2024-06-30 07:44:08
80,Thiago Melo,vieiravalentim@example.net,31 6823 6760,"Vereda Anthony Gabriel Fonseca, 4
Flamengo
36113-396 Siqueira das Pedras / BA",Cavalcanti Paulista,BA,2007-05-11,275.94,Vestuário,Transferência,Cancelado,2025-01-14 07:44:41
81,Mariane Macedo,costacarlos-eduardo@example.org,21 8442 3532,"Morro Rocha
Dom Bosco
00669-304 Correia de Gonçalves / AC",Farias da Praia,RR,1976-05-22,1733.05,Alimentos,Transferência,Concluído,2025-04-02 00:19:03
82,Ana Camargo,beniciofarias@example.org,(011) 8893-4978,"Rodovia Miguel Silva, 46
Inconfidência
87210-261 Mendes / RO",Pacheco,PA,2005-12-24,1265.43,Móveis,Transferência,Cancelado,2025-06-14 05:41:46
83,Dr. João Vitor Gonçalves,ksilva@example.org,+55 (061) 5528 7640,"Fazenda Caldeira, 840
Santa Rita De Cássia
31570732 Novaes de Borges / PR",Castro,MT,1969-06-18,695.25,Alimentos,Transferência,Concluído,2024-09-11 03:03:38
84,Sr. Heitor Novaes,bernardocosta@example.org,0300 347 3577,"Lago Moraes
Cenaculo
31016-959 Castro / MA",Santos,RS,2006-01-11,173.94,Vestuário,Cartão de Crédito,Entregue,2025-05-15 07:52:03
85,Pedro Henrique Moreira,aalbuquerque@example.net,+55 (071) 7731-9129,"Chácara Cardoso, 75
Pompéia
35904704 Gomes / RR",Nogueira,BA,1996-07-30,656.42,Eletrônicos,PIX,Entregue,2025-05-29 07:26:31
86,Lara Rodrigues,benicio97@example.com,+55 51 1484 1603,"Vale Maria Vitória Teixeira, 5
Vila Jardim São José
36922-157 Sampaio / GO",Dias dos Dourados,BA,1993-01-10,684.11,Vestuário,PIX,Em Processamento,2025-05-14 20:39:37
87,Nicolas Abreu,mendesgael-henrique@example.net,+55 (021) 0726-5476,"Chácara Ribeiro, 14
Pompéia
63733-160 da Cruz / PB",Jesus do Amparo,BA,1965-04-15,1472.73,Livros,Boleto,Cancelado,2024-09-23 09:50:27
88,Henry Gonçalves,ssiqueira@example.com,+55 61 5687-3680,"Colônia Camargo, 976
Santo Antônio
28195-893 Cunha / MG",Duarte do Amparo,SP,1975-09-13,1293.24,Alimentos,Cartão de Crédito,Cancelado,2024-09-20 06:43:51
89,Isabel Araújo,msiqueira@example.org,(011) 7355-5954,"Loteamento Henry Gabriel Marques, 68
Capitão Eduardo
50447678 Mendes / AM",Mendes,AM,1971-04-19,1780.06,Alimentos,Transferência,Concluído,2024-12-10 22:55:54
90,Milena Jesus,luisa48@example.org,51 9344 6100,"Aeroporto Yago Santos
Mineirão
55189622 Nogueira / SC",Montenegro do Campo,MT,2006-05-02,970.82,Eletrônicos,Transferência,Em Processamento,2025-03-29 02:24:06
91,André Mendes,trios@example.net,+55 84 6008-7077,"Passarela André Moura, 28
Bairro Das Indústrias Ii
49451703 Santos da Mata / ES",Azevedo de Andrade,AC,1994-10-14,283.21,Alimentos,PIX,Entregue,2024-10-27 00:29:22
92,Dra. Mariane Campos,joao-lucascassiano@example.net,+55 51 3335 1093,"Conjunto Pinto, 47
Vila Nossa Senhora Do Rosário
37245520 Marques das Pedras / CE",da Rosa,MG,1993-07-15,1440.83,Móveis,Boleto,Concluído,2024-11-21 21:23:10
93,Fernanda Porto,pedro46@example.net,0900 059 8760,"Favela Liz Rodrigues
Vila Nova Gameleira 1ª Seção
02311754 Farias de Goiás / SC",Vieira,CE,2004-10-16,1533.53,Móveis,Cartão de Crédito,Em Processamento,2025-04-06 23:16:18
94,Vitor Hugo Pires,ealbuquerque@example.org,(081) 6577-1856,"Colônia da Rocha, 51
Santa Branca
56289600 Carvalho do Norte / CE",Cardoso,SE,1961-08-04,1144.49,Vestuário,Boleto,Entregue,2025-04-24 13:45:12
95,Camila Cirino,aguerra@example.org,41 6874 0723,"Pátio de da Cruz, 98
Aarão Reis
40954509 Cirino das Flores / MA",Almeida,BA,1984-10-11,1553.39,Eletrônicos,Cartão de Crédito,Concluído,2024-11-23 04:20:20
96,Sr. Levi Santos,benjaminsousa@example.com,31 0891 7969,"Sítio de Ferreira, 72
Conjunto Novo Dom Bosco
14940-079 Melo das Flores / MG",Fogaça da Mata,MG,1953-01-06,1012.9,Livros,Boleto,Entregue,2025-01-14 17:28:39
97,Sr. Davi Miguel da Conceição,olivia04@example.com,+55 (011) 3869-4702,"Trevo de Pacheco, 20
Bacurau
10305-243 Cirino de Alves / MG",Araújo,AL,1949-04-03,1069.33,Vestuário,Boleto,Cancelado,2025-03-17 13:09:07
98,Dr. Apollo Santos,guerraanthony-gabriel@example.net,(011) 8608-0883,"Vale Gonçalves, 95
Vila Novo São Lucas
14307-171 Pinto / MS",da Conceição,AL,1987-04-12,883.7,Eletrônicos,Transferência,Em Processamento,2024-12-28 05:46:37
99,Lucca da Mata,machadojoao-gabriel@example.net,61 8514-0453,"Travessa Gabriela Santos, 238
Vila Petropolis
94589621 Silveira de da Conceição / RJ",Cunha,BA,1980-04-14,99.57,Eletrônicos,PIX,Entregue,2025-03-08 18:08:36
100,Nathan Garcia,marcos-viniciusborges@example.com,+55 (041) 5075-0666,"Lagoa de Costa, 11
São Jorge 3ª Seção
45751-530 Sá / PB",Castro de Minas,AM,1957-03-23,260.39,Vestuário,Transferência,Em Processamento,2024-12-26 12:57:02
101,Renan Martins,yasminrios@example.org,+55 (084) 5196 7651,"Parque da Conceição, 923
Mangueiras
30131-946 Ramos do Sul / AL",Pires da Mata,RS,1983-07-16,111.29,Vestuário,PIX,Concluído,2025-04-13 10:35:44
102,Luigi Pires,joaofogaca@example.com,+55 (041) 4898 5304,"Fazenda Pimenta, 572
Barão Homem De Melo 2ª Seção
95201547 Santos / MT",Cavalcante da Praia,DF,1975-11-25,1291.0,Alimentos,Boleto,Em Processamento,2024-08-08 15:44:33
103,Luna Oliveira,dmoreira@example.com,0800 149 6843,"Avenida Agatha Monteiro, 946
Fernão Dias
15807413 das Neves de Borges / PB",Barros,PA,1974-01-11,662.99,Livros,Cartão de Crédito,Concluído,2024-11-26 23:03:08
104,Noah Montenegro,davi-miguel24@example.org,51 2791 4566,"Lago Pedro Miguel da Rosa, 560
Manacas
58299-060 Souza do Galho / MG",da Rocha do Norte,AL,1945-04-07,1041.71,Móveis,Transferência,Em Processamento,2024-06-26 19:17:24
105,Calebe Cavalcante,britoalexandre@example.org,(011) 6438 4003,"Rodovia Gonçalves, 3
Cachoeirinha
72758474 Barbosa de Costela / SE",Barros dos Dourados,SP,1971-04-01,1819.75,Alimentos,Cartão de Crédito,Concluído,2024-07-09 15:49:53
106,Yan Ramos,rbarbosa@example.net,(041) 1339 5456,"Setor de Duarte, 46
Vila Novo São Lucas
89469-728 Rodrigues da Praia / SE",Viana,PI,1999-09-01,536.12,Eletrônicos,Transferência,Concluído,2024-07-18 08:39:28
107,Sr. Luiz Henrique Vasconcelos,camposeduarda@example.org,(084) 1979-5584,"Viaduto de Lopes, 60
Aparecida 7ª Seção
12376-948 Aragão do Amparo / AP",Borges,RS,1983-07-03,850.25,Livros,Transferência,Concluído,2025-01-19 11:10:05
108,Benício Leão,pda-costa@example.com,+55 21 5009 2075,"Distrito de Aparecida, 5
Vila Independencia 3ª Seção
02037584 Guerra / ES",Monteiro,RS,2003-02-01,1523.32,Livros,Transferência,Entregue,2025-03-26 16:54:32
109,Heloisa Almeida,henry-gabriel46@example.org,+55 84 0945-5871,"Alameda de Ferreira, 35
Leticia
84654-728 Correia / RS",Monteiro,MS,1960-10-29,496.16,Vestuário,Cartão de Crédito,Cancelado,2025-02-01 05:02:31
110,Carolina Costa,pereiraeduarda@example.com,41 0313 2699,"Morro de da Luz, 263
Zilah Sposito
34270087 Barbosa / AM",da Mata,SP,1963-08-29,200.11,Livros,Transferência,Em Processamento,2025-01-06 11:23:24
111,Srta. Kamilly Pimenta,helenalima@example.com,71 3187 7268,"Vila Camila Nogueira
Maravilha
60573133 Lima Alegre / SC",Rocha,AL,1994-05-31,615.02,Livros,Transferência,Cancelado,2024-12-05 21:28:58
